show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,type,date_added_year
81193313,Chocolate,director desconhecido,"Ha Ji-won, Yoon Kye-sang, Jang Seung-jo, Kang Bu-ja, Lee Jae-ryong, Min Jin-woong, Kim Won-hae, Yoo Teo",South Korea,2019-11-30,2019,TV-14,1 Season,"international tv shows, korean tv shows, romantic tv shows","brought together by meaningful meals in the past and present, a doctor and a chef are reacquainted when they begin working at a hospice ward.",TV Show,2019
81197050,Guatemala: Heart of the Mayan World,"Luis Ara, Ignacio Jaunsolo",Christian Morales,country desconhecido,2019-11-30,2019,TV-G,67 min,"documentaries, international movies","from sierra de las minas to esquipulas, explore guatemala's cultural and geological wealth, including ancient mayan cities and other natural wonders.",Movie,2019
81213894,The Zoya Factor,Abhishek Sharma,"Sonam Kapoor, Dulquer Salmaan, Sanjay Kapoor, Sikander Kher, Angad Bedi, Koel Purie, Pooja Bhamrah, Manu Rishi Chadha",India,2019-11-30,2019,TV-14,135 min,"comedies, dramas, international movies","a goofy copywriter unwittingly convinces the indian cricket team that she’s their lucky mascot, to the dismay of their superstition-shunning captain.",Movie,2019
81082007,Atlantics,Mati Diop,"Mama Sane, Amadou Mbow, Ibrahima Traore, Nicole Sougou, Amina Kane, Mariama Gassama, Coumba Dieng, Ibrahima Mbaye, Diankou Sembene","France, Senegal, Belgium",2019-11-29,2019,TV-14,106 min,"dramas, independent movies, international movies","arranged to marry a rich man, young ada is crushed when her true love goes missing at sea during a migration attempt – until a miracle reunites them.",Movie,2019
80213643,Chip and Potato,director desconhecido,"Abigail Oliver, Andrea Libman, Briana Buckmaster, Brian Dobson, Chance Hurstfield, Dominic Good, Emma Jayne Maas, Evan Byarushengo, Scotia Anderson, Alessandro Juliani","Canada, United Kingdom",1900-01-01,2019,TV-Y,2 Seasons,kids' tv,"lovable pug chip starts kindergarten, makes new friends and tries new things – with a little help from potato, her secret mouse pal.",TV Show,1900
81172754,Crazy people,Moses Inwang,"Ramsey Nouah, Chigul, Sola Sobowale, Ireti Doyle, Ben Touitou, Francis Onwochei, Ememobong Nkana, Emem Inwang, Patrick Onyeke",Nigeria,2019-11-29,2018,TV-14,107 min,"comedies, international movies, thrillers",nollywood star ramsey nouah learns that someone is impersonating him and breaks out of a mental institution to expose the imposter.,Movie,2019
81120982,I Lost My Body,Jérémy Clapin,"Hakim Faris, Victoire Du Bois, Patrick d'Assumçao, Dev Patel, Alia Shawkat, George Wendt",France,2019-11-29,2019,TV-MA,81 min,"dramas, independent movies, international movies","romance, mystery and adventure intertwine as a young man falls in love and a severed hand scours paris for its owner in this mesmerizing animated film.",Movie,2019
81227195,Kalushi: The Story of Solomon Mahlangu,Mandla Dube,"Thabo Rametsi, Thabo Malema, Welile Nzuza, Jafta Mamabolo, Louw Venter, Pearl Thusi",South Africa,2019-11-29,2016,TV-MA,107 min,"dramas, international movies","the life and times of iconic south african liberation fighter solomon mahlangu, who battled the forces of apartheid, come into focus.",Movie,2019
70205672,La Reina del Sur,director desconhecido,"Kate del Castillo, Cristina Urgel, Alberto Jiménez, Juan José Arjona, Humberto Zurita, Dagoberto Gama, Christian Tappán, Miguel de Miguel, Salvador Zerboni, Carmen Navarro, Santiago Meléndez, Juan Carlos Solarte","United States, Spain, Colombia, Mexico",1900-01-01,2019,TV-14,2 Seasons,"crime tv shows, international tv shows, spanish-language tv shows","this compelling show tells the story of the legendary teresa mendoza, a courageous woman who is perceived as conquering the world of drug trafficking.",TV Show,1900
81172841,Lagos Real Fake Life,Mike Ezuruonye,"Nonso Diobi, Mike Ezuruonye, Mercy Aigbe, Rex Nosa, Annie Macaulay Idibia, Ik Ogbonna, Nedu Wazobia, Uzee Usman, Odunlade Adekola, Mr Jollof, Efe Irele, Josh 2 Funny, Haillie Sumney, Emmanuella, MC Lively",country desconhecido,2019-11-29,2018,TV-14,118 min,"comedies, international movies","two mooching friends vie for the attention of wealthy, beautiful women only to discover that their lavish lifestyles are bogus.",Movie,2019
81172899,Payday,Cheta Chukwu,"Baaj Adebule, Ebiye Victor, Meg Otanwa, Bisola Aiyeola, Mawuli Gavor, Zack Orji, Segilola Ogidan",Nigeria,2019-11-29,2018,TV-MA,110 min,"comedies, independent movies, international movies","after an expensive night out, two flatmates get tangled in an overnight misadventure to recover their rent money to pay their dead landlord's daughter.",Movie,2019
81094391,Sugar Rush Christmas,director desconhecido,"Hunter March, Candace Nelson, Adriano Zumbo",United States,2019-11-29,2019,TV-PG,1 Season,reality tv,"it's everything you love about ""sugar rush"" – with a holly jolly holiday twist – in this christmas-themed spin on competitive baking.",TV Show,2019
81172908,The Accidental Spy,Roger Russell,"Ramsey Nouah, Christine Allado, Ayo Makun, Emmanuel Edunjobi, Thenjiwe Moseley, Miguel A. Núñez Jr., Bucci Franklin",Nigeria,2019-11-29,2017,TV-14,104 min,"action & adventure, comedies, international movies","nursing a broken heart, an it specialist moves to london to audition for a reality tv show that unexpectedly turns into a real-life cartel drama.",Movie,2019
81152641,The Charming Stepmom,director desconhecido,"Shahkrit Yamnarm, View Wannarot Sontichai, Krittanai Arsalprakit, Ployshompoo Supasap, Boriboon Chanrueng, Shawankorn Wanthanapisitkul, Duangta Toongkamanee, Daraneenuch Pasutanavin, Phuwin Tangsakyuen, Nuntasai Pisolyabut, Pimmara Charoenpakdee, Thanawat Rattanakitpaisan",country desconhecido,2019-11-29,2019,TV-14,1 Season,"international tv shows, romantic tv shows, tv comedies","a quirky fashion student becomes the nanny of a handsome widower’s three kids, experiencing a series of silly antics and schemes.",TV Show,2019
81172901,The Island,Toka McBaror,"Sambasa Nzeribe, Segun Arinze, Tokunbo Idowu, Femi Adebayo",Nigeria,2019-11-29,2018,TV-14,93 min,"dramas, international movies, thrillers","when a colonel uncovers controversial intel about the government, he makes a shocking discovery and must decide whether to reveal it or risk his life.",Movie,2019
80990849,The Movies That Made Us,director desconhecido,cast desconhecido,United States,2019-11-29,2019,TV-MA,1 Season,docuseries,"these blockbusters brought us together and gave us the time of our lives. meet the actors, directors and industry insiders who made them happen.",TV Show,2019
